objectid,state,county,title,latitude,longitude,status,display_template,object_location,notes
bilbo,Mississippi,Pearl River,Bilbo ,30.76694444,-89.49722222,Removed,record,,
blue-hill,Mississippi,Prentiss,Blue Hill ,34.70472222,-88.38194444,Removed,record,,
brody,Mississippi,Benton,Brody ,34.92777778,-89.08138889,Removed,record,,
brownsville,Mississippi,Hinds,Brownsville ,32.46527778,-90.40611111,Removed,record,,
buck-branch,Mississippi,Pearl River,Buck Branch ,30.79666667,-89.73611111,Removed,record,,
buckley,Mississippi,Simpson,Buckley,31.77388889,-90.01666667,Removed,record,,
bude,Mississippi,Franklin,Bude ,31.40972222,-90.84666667,Removed,record,,
camp-shelby,Mississippi,Forrest,Camp Shelby ,31.18694444,-89.24333333,Removed,record,,
caron-s-thornton,Mississippi,Jasper,Caron S. Thornton ,31.95388889,-89.26805556,Removed,record,,
carrollton,Mississippi,Carroll,Carrollton ,33.48833333,-89.92361111,Removed,record,,
carthage,Mississippi,Leake,Carthage ,32.68527778,-89.50972222,Removed,record,,
cato,Mississippi,Rankin,Cato ,32.065,-89.91611111,Removed,record,,
choctaw,Mississippi,Choctaw,Choctaw ,33.39,-89.17166667,Removed,record,,
choctaw-lake,Mississippi,Choctaw,Choctaw Lake ,33.28055556,-89.13916667,Removed,record,,
clem,Mississippi,Jefferson Davis,Clem ,31.74361111,-89.83583333,Removed,record,,
coffeeville,Mississippi,Yalobusha,Coffeeville,34.00166667,-89.79527778,Removed,record,,
coldwater,Mississippi,Tate,Coldwater,34.66777778,-89.94416667,Removed,record,,
columbia,Mississippi,Marion,Columbia ,31.20666667,-89.92111111,Removed,record,,
columbus,Mississippi,Lowndes,Columbus,33.56472222,-88.43472222,Removed,record,,
coursey,Mississippi,Smith,Coursey ,32.10444444,-89.63055556,Removed,record,,
covington,Mississippi,Covington,Covington ,31.63305556,-89.5825,Removed,record,,
crawford,Mississippi,Benton,Crawford ,34.76833333,-89.10472222,Removed,record,,
crosby,Mississippi,Wilkinson,Crosby ,31.2125,-91.28722222,Removed,record,,
crystal-springs,Mississippi,Copiah ,Crystal Springs ,32.0,-90.33222222,Removed,record,,
deerbrook,Mississippi,Noxubee,Deerbrook ,33.22416667,-88.40194444,Removed,record,,
denmark,Mississippi,Lafayette,Denmark ,34.36111111,-89.32222222,Removed,record,,
dennis,Mississippi,Tishomingo,Dennis ,34.56638889,-88.22138889,Removed,record,,
dixon,Mississippi,Neshoba,Dixon,32.67583333,-89.25166667,Removed,record,,
doloroso,Mississippi,Wilkinson,Doloroso ,31.30666667,-91.32388889,Removed,record,,
eastport,Mississippi,Tishomingo,Eastport ,34.88638889,-88.12,Removed,record,,
eden,Mississippi,Yazoo,Eden ,32.96111111,-90.31666667,Removed,record,,
elico,Mississippi,Jackson,Elico ,30.65111111,-88.77027778,Removed,record,,
elliott,Mississippi,Grenada,Elliott,33.68555556,-89.95305556,Removed,record,,
emory,Mississippi,Carroll,Emory,33.25555556,-89.89194444,Removed,record,,
enterprise,Mississippi,Clarke,Enterprise ,32.13138889,-88.855,Removed,record,,
enterprise-1,Mississippi,Clarke,Enterprise 1 ,32.16916667,-88.85111111,Removed,record,,
errata,Mississippi,Jones,Errata ,31.76361111,-89.05916667,Removed,record,,
fair,Mississippi,Winston,Fair,33.05277778,-88.8575,Removed,record,,
fannin,Mississippi,Rankin,Fannin,32.42611111,-89.9525,Removed,record,,
flintkote1,Mississippi,Kemper,Flintkote,32.92194444,-88.64277778,Removed,record,,
forkville,Mississippi,Scott,Forkville,32.52194444,-89.63944444,Removed,record,,
franklin,Mississippi,Franklin,Franklin ,31.48,-90.98777778,Removed,record,,
glading,Mississippi,Amite,Glading ,31.15888889,-90.59083333,Removed,record,,
hamilton,Mississippi,Calhoun,Hamilton ,33.82416667,-89.22444444,Removed,record,,
harrisville,Mississippi,Simpson,Harrisville ,31.9275,-90.10027778,Removed,record,,
hazlehurst,Mississippi,Copiah,Hazlehurst ,31.81972222,-90.44638889,Removed,record,,
heidelberg1,Mississippi,Jasper,Heidelberg ,31.90166667,-88.91777778,Removed,record,,
heidelberg2,Mississippi,Jasper,Heidelberg ,31.88666667,-89.04138889,Removed,record,,
helena,Mississippi,Jackson,Helena,30.51361111,-88.49861111,Removed,record,,
heucks,Mississippi,Lincoln,Heucks ,31.61277778,-90.30416667,Removed,record,,
hickman,Mississippi,Stone,Hickman ,30.73277778,-89.26277778,Removed,record,,
hiwannee,Mississippi,Wayne,Hiwannee ,31.79611111,-88.63111111,Removed,record,,
holder,Mississippi,Jasper,Holder ,31.96666667,-89.17,Removed,record,,
hurley,Mississippi,Jackson,Hurley ,30.66083333,-88.50027778,Removed,record,,
improve,Mississippi,Marion,Improve,31.36527778,-89.72583333,Removed,record,,
jasper,Mississippi,Jasper,Jasper ,32.10027778,-89.05055556,Removed,record,,
jeff-davis,Mississippi,Warren,Jeff Davis ,32.2025,-90.87583333,Removed,record,,
jefferson-davis,Mississippi,Jefferson Davis,Jefferson Davis ,31.53833333,-89.80111111,Removed,record,,
kennedy,Mississippi,Simpson,Kennedy,32.00805556,-89.75722222,Removed,record,,
knoxville,Mississippi,Franklin,Knoxville ,31.39333333,-91.05527778,Removed,record,,
